"year","state","party","candidate","candidatevotes","party_percentage"
2016,"IDAHO","REPUBLICAN","DONALD TRUMP",93752,13.578725234744
2016,"ILLINOIS","DEMOCRAT","HILLARY CLINTON",1611946,28.9985782664925
2016,"INDIANA","DEMOCRAT","HILLARY CLINTON",212899,7.78436085672979
2016,"IOWA","DEMOCRAT","HILLARY CLINTON",119804,7.65016784469784
2016,"KANSAS","REPUBLICAN","DONALD TRUMP",137490,11.608379917984
2016,"KENTUCKY","DEMOCRAT","HILLARY CLINTON",190836,9.91794294516693
2016,"LOUISIANA","DEMOCRAT","HILLARY CLINTON",133996,6.60393724692366
2016,"MAINE","DEMOCRAT","HILLARY CLINTON",102981,13.7688571210827
2016,"MARYLAND","DEMOCRAT","HILLARY CLINTON",357837,12.8651428070148
2016,"MASSACHUSETTS","DEMOCRAT","HILLARY CLINTON",520360,15.8910141988759
2016,"MICHIGAN","DEMOCRAT","HILLARY CLINTON",519444,10.8233644852024
2016,"MINNESOTA","DEMOCRAT","HILLARY CLINTON",429288,14.5777677563906
2016,"MISSISSIPPI","DEMOCRAT","HILLARY CLINTON",67594,5.58925114751062
2016,"MISSOURI","DEMOCRAT","HILLARY CLINTON",286704,10.212507671741
2016,"MONTANA","REPUBLICAN","DONALD TRUMP",40920,8.23096589137619
2016,"NEBRASKA","DEMOCRAT","HILLARY CLINTON",113798,13.4795499314758
2016,"NEVADA","DEMOCRAT","HILLARY CLINTON",402227,35.7412796509639
2016,"NEW HAMPSHIRE","REPUBLICAN","DONALD TRUMP",100013,13.4372615196105
2016,"NEW JERSEY","DEMOCRAT","HILLARY CLINTON",240837,6.21667889333271
2016,"NEW MEXICO","DEMOCRAT","HILLARY CLINTON",143417,17.9648736908429
2016,"NEW YORK","DEMOCRAT","HILLARY CLINTON",640553,8.31092294472182
2016,"NORTH CAROLINA","DEMOCRAT","HILLARY CLINTON",302736,6.38472875194767
2016,"NORTH DAKOTA","REPUBLICAN","DONALD TRUMP",39816,11.5623185038913
2016,"OHIO","DEMOCRAT","HILLARY CLINTON",398271,7.24591907522023
2016,"OKLAHOMA","REPUBLICAN","DONALD TRUMP",144258,9.92834096815399
2016,"OREGON","DEMOCRAT","HILLARY CLINTON",292561,14.6182849856296
2016,"PENNSYLVANIA","DEMOCRAT","HILLARY CLINTON",584025,9.55006719100396
2016,"RHODE ISLAND","DEMOCRAT","HILLARY CLINTON",142899,30.7876434899514
2016,"SOUTH CAROLINA","REPUBLICAN","DONALD TRUMP",127832,6.0784764056762
2016,"SOUTH DAKOTA","REPUBLICAN","DONALD TRUMP",42043,11.3601175920647
2016,"TENNESSEE","DEMOCRAT","HILLARY CLINTON",208992,8.33292464554807
2016,"TEXAS","DEMOCRAT","HILLARY CLINTON",707914,7.89269887947968
2016,"UTAH","DEMOCRAT","HILLARY CLINTON",175863,15.5434273441574
2016,"VERMONT","DEMOCRAT","HILLARY CLINTON",54814,17.3970172370563
2016,"WASHINGTON","DEMOCRAT","HILLARY CLINTON",718322,22.3831131236496
2016,"WEST VIRGINIA","REPUBLICAN","DONALD TRUMP",43850,6.14963025085162
2016,"WISCONSIN","DEMOCRAT","HILLARY CLINTON",288797,9.70500575820641
2016,"WYOMING","REPUBLICAN","DONALD TRUMP",24847,9.71158769430406
2016,"ALASKA","REPUBLICAN","DONALD TRUMP",6629,2.08198543960703
2020,"ALABAMA","DEMOCRAT","JOSEPH R BIDEN JR",181688,7.82031625949842
2020,"ALASKA","REPUBLICAN","DONALD J TRUMP",8081,2.25998338782165
2020,"ARIZONA","DEMOCRAT","JOSEPH R BIDEN JR",978457,28.9031617342541
2020,"ARKANSAS","DEMOCRAT","JOSEPH R BIDEN JR",67553,5.54135984099341
2020,"COLORADO","DEMOCRAT","JOSEPH R BIDEN JR",313293,9.61912569312676
2020,"CONNECTICUT","DEMOCRAT","JOSEPH R BIDEN JR",297505,16.3118599758643
2020,"DELAWARE","DEMOCRAT","JOSEPH R BIDEN JR",195034,38.6964544354279
2020,"DISTRICT OF COLUMBIA","DEMOCRAT","JOSEPH R BIDEN JR",317323,92.1496939214069
2020,"FLORIDA","DEMOCRAT","JOSEPH R BIDEN JR",618752,5.59073376935043
2020,"GEORGIA","DEMOCRAT","JOSEPH R BIDEN JR",224688,4.49512471986495
2020,"HAWAII","DEMOCRAT","JOSEPH R BIDEN JR",238866,41.5811801405501
2020,"IDAHO","REPUBLICAN","DONALD J TRUMP",130699,15.0685815940537
2020,"ILLINOIS","DEMOCRAT","JOSEPH R BIDEN JR",1725973,28.6053402331952
2020,"INDIANA","DEMOCRAT","JOSEPH R BIDEN JR",247772,8.16887951387366
2020,"IOWA","DEMOCRAT","JOSEPH R BIDEN JR",100944,5.96994093576624
2020,"KANSAS","DEMOCRAT","JOSEPH R BIDEN JR",184259,13.42699097794
2020,"KENTUCKY","DEMOCRAT","JOSEPH R BIDEN JR",228288,10.6926664031221
2020,"LOUISIANA","DEMOCRAT","JOSEPH R BIDEN JR",147854,6.88313465812439
2020,"MAINE","DEMOCRAT","JOSEPH R BIDEN JR",128759,15.6539425725867
2020,"MICHIGAN","DEMOCRAT","JOSEPH R BIDEN JR",597170,10.7806001550376
2020,"MINNESOTA","DEMOCRAT","JOSEPH R BIDEN JR",532623,16.2525238994242
2020,"MISSISSIPPI","DEMOCRAT","JOSEPH R BIDEN JR",73550,5.59843928757101
2020,"MISSOURI","DEMOCRAT","JOSEPH R BIDEN JR",328151,10.844518206111
2020,"NEVADA","DEMOCRAT","JOSEPH R BIDEN JR",521777,37.1395056341647
2020,"NEW HAMPSHIRE","DEMOCRAT","JOSEPH R BIDEN JR",122344,15.2200768069985
2020,"NEW JERSEY","DEMOCRAT","JOSEPH R BIDEN JR",285967,6.28588284971511
2020,"NEW MEXICO","DEMOCRAT","JOSEPH R BIDEN JR",193757,20.9701666188654
2020,"NEW YORK","DEMOCRAT","JOSEPH R BIDEN JR",703310,8.11973582659825
2020,"NORTH CAROLINA","DEMOCRAT","JOSEPH R BIDEN JR",239644,4.33760341094577
2020,"NORTH DAKOTA","REPUBLICAN","DONALD J TRUMP",42619,11.7790939668729
2020,"OREGON","DEMOCRAT","JOSEPH R BIDEN JR",367249,15.4675378771447
2020,"PENNSYLVANIA","DEMOCRAT","JOSEPH R BIDEN JR",603790,8.73124064481526
2020,"RHODE ISLAND","DEMOCRAT","JOSEPH R BIDEN JR",165012,31.8705493117428
2020,"SOUTH CAROLINA","REPUBLICAN","DONALD J TRUMP",110201,4.38466273217712
2020,"TEXAS","DEMOCRAT","JOSEPH R BIDEN JR",918193,8.11478971027629
2020,"VERMONT","DEMOCRAT","JOSEPH R BIDEN JR",72938,19.6690631185516
2020,"WEST VIRGINIA","REPUBLICAN","DONALD J TRUMP",46398,5.83878225940412
2020,"MARYLAND","DEMOCRAT","JOSEPH R BIDEN JR",168777,5.55730251024767
2020,"MASSACHUSETTS","DEMOCRAT","JOSEPH R BIDEN JR",617196,16.8724755707004
2020,"MONTANA","REPUBLICAN","DONALD J TRUMP",50772,8.41097342787092
2020,"NEBRASKA","DEMOCRAT","JOSEPH R BIDEN JR",150350,15.7978464073165
2020,"OHIO","DEMOCRAT","JOSEPH R BIDEN JR",416176,7.02738609726585
2020,"OKLAHOMA","REPUBLICAN","DONALD J TRUMP",123815,7.93330424380358
2020,"SOUTH DAKOTA","REPUBLICAN","DONALD J TRUMP",49249,11.6535615663651
2020,"TENNESSEE","DEMOCRAT","JOSEPH R BIDEN JR",246105,8.05884111569294
2020,"UTAH","DEMOCRAT","JOSEPH R BIDEN JR",271576,18.1613183232867
2020,"VIRGINIA","DEMOCRAT","JOSEPH R BIDEN JR",321219,7.19802357370143
2020,"WASHINGTON","DEMOCRAT","JOSEPH R BIDEN JR",907310,22.196475171071
2020,"WISCONSIN","DEMOCRAT","JOSEPH R BIDEN JR",317270,9.62196332087081
2020,"WYOMING","REPUBLICAN","DONALD J TRUMP",27891,10.0146138461704
